Give three examples of video products.,"Films, TV programmes, adverts, music videos, online videos, or video games cutscenes."
What types of products are included under the category of 'audio products'?,"Sound tracks, sound effects, and audio books."
What do 'music products' cover in the media industry?,"Bands, solo artists, and instrumental music."
"Name three examples of media products from the provided list, excluding video, audio, and music.","Animation, digital imaging/graphics, and social media platforms/apps."
Visual effects and _____ are listed as two distinct types of media products.,Special effects (SFX).
"Besides traditional media, what are two examples of interactive or immersive media products listed?",AR (Augmented Reality) and VR (Virtual Reality).
Comics and _____ are listed as a type of graphical media product.,graphical novels.
"Why are video, audio, and music important in the media industry?","They help communicate meaning, create mood, and engage audiences."
Why is video often effective at grabbing audience attention?,"Because moving images, action, and visual storytelling can make content more immediate and engaging."
How can video help a media product communicate with an audience?,"It combines moving images, action, and visual storytelling to capture attention."
How does video enhance a media product?,It adds moving images and visual storytelling that help engage the audience and communicate meaning.
Name three media sectors where the significance of video could be discussed as an example.,"Film, television, and computer games (others include interactive media and the internet)."
Why are audio products important in media?,"They add information, atmosphere, and emotional impact for the audience."
What do audio elements contribute to in media products?,Storytelling and user experiences.
Name three media sectors where the importance of audio could be discussed as an example.,"Film, television, and radio (others include computer games, interactive media and the internet)."
Why is music used in media products?,"It helps set the tone, create emotion, and make content more memorable."
What key functions does music perform in media sectors like film and television?,"It adds emotional depth, sets the tone, and enhances engagement."
How can music affect the mood of a media product?,"It can make a scene feel tense, exciting, sad, uplifting, or dramatic depending on the style used."
"Why are video, audio, and music often used together in media products?","Together they create a stronger audience experience by combining visuals, sound, and emotion."
Media products like websites and eBooks fall under the broader category of _____.,Multimedia.
