What is one way businesses use social media to promote products?,"By posting adverts, product photos, videos, and updates to attract attention and encourage sales."
How does social media help businesses communicate directly with customers?,"Customers can comment, like, message, share posts, and respond quickly to business content."
Why is social media often cheaper for businesses than traditional advertising?,"It can reach large audiences online without the high production and placement costs of TV, radio, or print campaigns."
How can businesses use social media to build brand awareness?,"By posting regular content, using recognisable branding, and sharing messages that keep the business visible to audiences."
Why is user-generated content valuable to businesses on social media?,"It encourages engagement and can act as promotion when customers share photos, reviews, or posts about the brand."
How can businesses use social media for market research?,"They can read comments, reactions, shares, and messages to find out what customers like or dislike."
What is one limitation of using social media for business promotion?,"Posts can be ignored easily, and negative comments or reviews can also spread quickly."
"Social media platforms, digital games, and _____ are all media products.",comic books
What are two primary functions of social media for businesses?,To connect with customers and to promote their products.
Name three social media platforms that businesses commonly use.,"Any three from: Facebook, Twitter, YouTube, Instagram, Snapchat, TikTok."
Give two ways businesses use social media.,To promote products or services and to communicate with customers.
A general explanation of social media use without detailed analysis lacks what?,Detailed analysis.
A strong explanation of how businesses use social media should include examples and some _____.,analysis
Give two business uses of social media.,Promotion/advertising and customer communication/engagement.
Businesses use social media as part of the wider digital _____.,marketing strategy
What kind of content can users post on social media platforms?,"Text, photos, videos, links, comments, and live content."
The reading materials list 'photos' and 'text' as examples of what type of content?,User-generated content.
What is the usual funding model for social media platforms?,They are usually funded by advertising.
Social media platforms make heavy use of media like photos and _____ to lay out text and images.,graphics
Term: App.,"Definition: Software installed onto smartphones, tablets, and smart televisions."
Name three types of devices that can have apps installed.,"Smartphones, tablets, and computers."
"Besides games and shopping, name two other categories of apps mentioned in the reading materials.","Any two from: navigation, office and work, email, social media."
