The _____ oversees the creative direction of a production from storyboarding to post-production.,director
Which senior role is responsible for coordination between different departments on a production?,The Production Manager.
"Besides coordination, what are two other potential responsibilities of a Production Manager?",Scheduling and managing budgets.
"In print and digital publishing, what is the primary role of an Editor?",To be responsible for deciding the content that will be published.
Name two specific tasks an Editor in publishing might perform on written copy.,Altering the tone or structure of the copy.
What visual elements might an Editor in publishing have control over?,The images and titles to be used.
Which senior role heads up a creative team and leads the strategy and look of a design project?,The Creative Director.
In which four production areas is the position of Creative Director often seen?,"TV, film, games production, and graphic design."
What is the key responsibility of a Campaign Manager?,Planning and managing marketing campaigns.
How does the size of a project or production affect the team?,It affects the number of people that are involved.
"On smaller productions, is it possible for one person to carry out many different roles?","Yes, it is possible for one person to perform multiple roles on smaller productions."
What is the example given for a person carrying out multiple roles on a low-budget production?,A broadcast radio journalist recording and editing their own interview.
Approximately how many people are involved in the average film production?,Around 300 people.
"During pre-production, with which team does a Campaign Manager collaborate?",The marketing team.
What are two financial and research-based tasks for a Campaign Manager during pre-production?,Setting budget goals and researching trends.
"During the production stage, what is a key task for a Campaign Manager regarding the team?",Delegating tasks to content creators.
What must a Campaign Manager ensure during the production stage in relation to the company?,That the campaign is in alignment with business objectives.
What are the main responsibilities of a Campaign Manager during post-production?,Monitoring campaign performance and making necessary adjustments.
"In pre-production, what is the Creative Director's primary responsibility for a brand?",Developing a vision for the brand.
What two activities related to brand identity and planning does a Creative Director undertake in pre-production?,Discussing brand identity and strategizing.
"During the production stage, what does a Creative Director do to get approval for concepts?",They pitch ideas to senior staff.
How does a Creative Director interact with the production team during the production stage?,By monitoring the progress of the production team.
What is the specified post-production responsibility for a Creative Director?,Overseeing the final stages of the project.
"A _____ is responsible for planning and managing marketing campaigns, including setting budgets and researching trends.",Campaign Manager
The senior role of a _____ involves heading a creative team and leading the strategy for a design project.,Creative Director
"An _____ in publishing decides on content, may alter copy, and chooses images and titles.",Editor
The _____ is responsible for coordination between departments and may also handle scheduling and budgets.,Production Manager
"A Director works in all stages of production, from storyboarding with the crew to working with _____ in post-production.",editors
Name two technical job roles in the media industry.,"Any two from: Camera Operator, Games Programmer, Sound Editor, Audio Technician, Video Editor, Web Developer."
A Games Programmer is an example of what type of role in the media industry?,A technical job role.
Sound editor and audio technician are examples of what type of job role?,Audio production roles.
A Video Editor and Web Developer fall under which general category of media industry jobs?,Technical job roles.
