"New Media is significant due to increased interactivity, precise audience targeting, and a broader _____ reach.",global
What is the definition of 'computer games' as a new media sector?,Interactive digital entertainment played on various devices.
The historical development of computer games is considered to have started with what game in the 1950s and 60s?,Space War.
What recent development in home gaming uses devices like the Oculus Rift?,Virtual reality (VR) gaming.
"What term describes a form of new media where users actively engage with content, such as mobile apps and digital kiosks?",Interactive media.
The historical progression of interactive media can be traced back to information kiosks in what year?,1977.
Give one modern example of interactive media other than a mobile app.,"A website, streaming service, video game, kiosk, or smart TV interface."
"Which new media sector includes services like email, social media, websites, and internet-based TV and radio?",The Internet.
In what year was the internet launched?,1969.
"The first website appeared in _____, marking a key point in the evolution of the internet.",1991
"What is the term for written material that is distributed electronically, such as ebooks and digital magazines?",Digital publishing.
"What key file format, crucial for digital publishing, was introduced in 1993?",The PDF format.
"The first digital document, a key milestone in digital publishing, was created in what year?",1971.
Name three media services that make use of the internet as an infrastructure.,"Video streaming apps (e.g., Netflix), podcasts/music streaming (e.g., Spotify), and social media platforms."
What is another term for video as a media product?,Moving picture.
"What type of media product would sound tracks, sound effects, and audio books be classified as?",Audio products.
What is the key difference between Special Effects (SFX) and Visual Effects (VFX)?,"SFX happen in the real world (live-action), while VFX are created by computers."
"Stunts, props, animatronics, and pyrotechnics are all examples of _____ effects.",Special Effects (SFX)
What technique is often used with Visual Effects (VFX) so that new backgrounds may be digitally added?,Green screens.
What media product makes use of a series of drawings or graphics which are rapidly sequenced to show movement?,Animation.
Name the three main animation techniques you need to know.,"Traditional (frame-by-frame), stop-motion, and computer-generated animation."
"What is the term for the creation of photos, illustrations, and graphics using computers?",Digital imaging.
What type of hardware is used to create digital images?,Digital cameras and scanners.
What is the primary difference in how websites and multimedia products are delivered to the user?,"Websites are delivered via the internet, whereas multimedia products are delivered via programs installed on computers."
Name three types of media assets commonly used when making websites and multimedia products.,"Photographs, video/film, and sound/audio/music."
How are social media platforms usually funded?,They are usually funded by advertising.
"Social media platforms allow users to post _____ content, such as photos and text.",user generated
What technology makes use of real-world footage and superimposes digitally created graphics onto it?,Augmented reality (AR).
The mobile game 'Pokemon GO' and Snapchat's face overlays are examples of what technology?,Augmented reality (AR).
What technology creates an entirely computer-generated world for the user to experience?,Virtual reality (VR).
"Digital games are designed to entertain and are played on consoles, personal computers, and _____ devices like smartphones.",portable
"While comics are similar to magazines, graphic novels are more like _____.",illustrated books
What special display technology is used by e-Books to reflect light like a real book?,E-ink.
Why are e-books with e-ink screens not well-suited for magazines or heavily illustrated books?,Because the screen is typically limited to black and white and has limited capabilities.
What kind of books are e-ink devices best suited for?,Novels.
Name two traditional media sectors that could be used for an advertising campaign.,"Television, radio, or print publishing."
"What software, such as Adobe Photoshop or GIMP, is used to edit digital images?",Image editing software.
Software such as Adobe Illustrator is used to create what type of digital graphic?,Illustration.
"What type of software, like Adobe InDesign, is used to make page layouts?",Desktop publishing software (DTP).
"Apps for smartphones, tablets, and smart TVs can include games, shopping, navigation, and _____ media apps.",social
Computer games are interactive digital entertainment played on what kind of devices?,Various devices.
What two major online media services grew after the first website appeared in 1991?,Social media sites like Facebook and streaming platforms like YouTube.
What are two examples of media products that could be produced for a toy shop's website?,"Videos of the toys being used, and photos of the products."
Removing unwanted items like wires from a film scene is an example of what kind of effect?,Visual Effects (VFX).
What is the purpose of using digital images and graphics for a website's buttons and layout?,To create the user interface and visual design of the website.
