"If individuals in a sensitive environment like a hospital do not consent to be filmed, what technique can be used to protect their privacy?",Their image can be blurred out so their right to privacy is not compromised.
"Why must a production company be extra cautious when filming children, the elderly, or the very ill?",Because they may not be able to fully understand the situation or provide informed consent.
What legal consideration determines whether you need permission to film in an area like a town centre or shopping complex?,"Whether the space is public or privately owned, even if it is open to the general public."
For what purpose are you permitted to take photos and film in public spaces without needing special permissions?,For personal use.
"For what professional purpose can you photograph a newsworthy event in a public space without special permissions, provided you do not harass people or obstruct the highway?","For editorial use (e.g., news or a current affairs magazine)."
"For which type of use may photography in a public space require permissions from the council, highways agency, or owners of background buildings?",For commercial use.
What is always needed to film or photograph within private spaces?,Permission from the owner.
"If you film or photograph on private property without permission, you are legally considered to be _____.",trespassing.
What document gives a media producer permission to photograph or film a specific person for commercial purposes?,A model release form.
"In a commercial photoshoot involving 20 people, how many model release forms are required?","Twenty forms are required, as each person needs to sign one."
What is the legal term for making false statements that damage a person's or business's reputation?,Defamation.
What is the term for a verbal statement of defamation?,Slander.
"What is the term for a statement of defamation published in the media, such as in a newspaper or news broadcast?",Libel.
"If a photographer is aggressive or intimidating while taking photos of people in public, they could be guilty of _____.",harassment.
"While a photographer can take a photo of someone in public, entering their _____ or _____ to do so would violate their right to privacy.",garden or home.
"According to the Data Protection Act (1998/2018), data must be stored fairly, lawfully, accurately, and _____.",securely.
The Data Protection Act states that companies should only store data for as long as it is _____.,needed.
What does the Data Protection Act mandate regarding the quantity of personal data stored?,Only the minimum amount of data needed should be stored.
What right does a 'data subject' have concerning the information a company holds about them?,They have the right to view the data stored about them.
"Under the Data Protection Act, what right does a person have if a company is storing incorrect data about them?",They have the right to have the incorrect data updated.
What are the potential maximum fines for breaches of the Data Protection Act?,"Up to £17.5 million or 4% of annual turnover, whichever is higher."
What is the maximum amount of compensation a person may receive in court for a case of libel?,"Up to £300,000."
