What is the typical visual result of a low frame rate in a video?,The motion appears choppy or stuttered.
How does using a high frame rate impact a video's file size?,A high frame rate increases the file size.
For what types of content are fast frame rates particularly important for ensuring smooth motion?,"Sport, action video, and many computer games."
What is the definition of resolution in the context of video and animation?,It is the pixel dimensions (width and height) of the frames.
What is the relationship between higher video resolutions and the level of visual detail?,Higher resolutions allow for greater detail in the picture.
How does increasing the resolution of a video affect its file size?,Higher resolutions lead to larger file sizes.
The MP4 format is a popular choice for _____ video due to its good compression quality.,streaming
What is a key advantage of the MP4 format regarding its widespread use?,"It has high compatibility with many different platforms, including YouTube."
What type of video format is WebM?,An open-source format that is ideal for web streaming.
What is a primary advantage of the WebM video format?,"It offers efficient compression, which is well-suited for the web."
What is a notable limitation of the WebM video format?,"It has relatively poor compatibility, particularly on mobile devices."
What does 'SD' stand for in video resolutions?,Standard Definition.
What are the pixel dimensions of a Standard Definition (SD) video?,720 x 576 pixels.
What does 'HD' stand for in video resolutions?,High Definition.
What are the pixel dimensions of a High Definition (HD) video?,1920 x 1080 pixels.
What are the typical pixel dimensions for 4K video resolution?,4096 x 2160 pixels.
What are the typical pixel dimensions for 8K video resolution?,7680 x 4320 pixels.
"The AVI format is typically a _____ format, which means it can save video uncompressed.",lossless
What does 'WMV' stand for?,Windows Media Video.
Which company's devices have historically had high support for the MOV video format?,Apple devices.
The SWF file format was used for vector animation with which now-obsolete browser plugin?,Flash.
Why might a television production company choose to use an uncompressed or lossless video format?,To ensure the video has the highest possible quality with all original information retained.
What is the main drawback of using uncompressed and lossless video formats?,They result in incredibly large file sizes.
The visible errors and pixelation caused by high levels of video compression are known as _____.,digital artefacts
Term: Lossy compression,A method of reducing a file's size where some of the original data and quality is lost.
Term: Lossless compression,A method of reducing a file's size where no data or quality is lost.
What is meant by the term 'pixel dimension'?,"The width and height of an image, measured in pixels."
What is a bitmap image?,An image that is made up of a grid of pixels.
What is a vector image?,"An image created from mathematical lines, curves, and fills rather than pixels."
