"What is the term for effects that happen in the real world, such as stunts and pyrotechnics?",Special Effects (SFX).
"What is the term for effects that are created by computers, often using green screens?",Visual Effects (VFX).
"The use of stunts, props, and animatronics are all examples of _____ effects.",Special Effects (SFX)
"Live-action weather, such as computer-controlled rain and wind on a set, is an example of what type of effect?",Special Effects (SFX).
The use of prosthetics and pyrotechnics in film and television are classified as what type of effect?,Special Effects (SFX).
What is the primary tool used to create Visual Effects (VFX)?,Computers.
What is the primary purpose of using green screens in media production?,To allow new backgrounds to be digitally added in post-production.
"Digitally removing unwanted items, such as wires from a harness, is an example of what type of effect?",Visual Effects (VFX).
"Altering a landscape in post-production, such as replacing a mud track with grass, is a technique used in _____.",Visual Effects (VFX)
What is the core difference between Special Effects (SFX) and Visual Effects (VFX)?,"SFX are practical effects created in the real world, whereas VFX are created digitally by computers."
What is animation?,The technique of using a series of drawings or graphics which are rapidly sequenced to show movement.
Name one traditional technique of animation mentioned in the material.,Hand-drawn animation.
Films using 3D animation are a common example of what broader animation technique?,Computer generated animation.
What animation technique involves physically manipulating real-world objects and capturing them one frame at a time?,Stop-motion animation.
What is Digital Imaging?,"The creation of photos, illustrations, and graphics using computers."
What two pieces of hardware are typically used to capture or create initial digital images?,Digital cameras and scanners.
What type of hardware is used to create computer-generated digital images from scratch?,Personal computers.
Name one example of software used for editing digital images.,"Adobe Photoshop, Serif Affinity Photo, or GIMP."
"What type of software, such as Adobe Illustrator, is used to create vector graphics?",Illustration software.
What is the purpose of Desktop Publishing (DTP) software like Adobe InDesign?,To create page layouts.
Adobe Photoshop and GIMP are primarily used for which media production task?,Editing digital images.
Serif Affinity Designer and Adobe Illustrator fall into which category of software?,Illustration software.
Page layouts for magazines or posters are typically made using _____ software.,Desktop publishing (DTP)
