Research sources that give first-hand information on a topic are known as _____ sources.,primary
What is an example of a primary research method conducted in person?,Face-to-face interviews.
What is an example of a primary research method that involves a small group discussion?,Focus groups.
List two examples of primary sources used to gather audience opinions directly.,Questionnaires and polls.
What type of media can be considered a primary source when it is original and unedited?,Original photographs and news footage.
An account from an eyewitness for a newspaper report is an example of what kind of research source?,A primary source.
What defines a secondary research source?,It is a source that contains second-hand information.
Secondary sources contain information that has undergone _____ or _____ of the original information.,interpretation or analysis
Name two examples of academic secondary sources.,Books and journals.
Name three examples of media that can be used as secondary sources.,"Internet sites, magazines and newspapers, and television."
Term: Target Audience,The particular types of people that a media product is aimed at.
Why do companies conduct research when identifying their target audience?,To find out what kind of people will be most interested in their product.
"What is the term for dividing a potential audience into categories such as interests, income, and location?",Audience segmentation.
"List three demographic categories, other than income or location, used for audience segmentation.","Age, gender, and education."
"Besides demographics, what are two personal categories used for audience segmentation?",Interests and lifestyle.
What is a primary benefit of segmenting an audience for a media product?,It allows the product to focus on a particular audience.
How do the characteristics of a target audience affect a media product?,Audience characteristics influence the design and production of media products.
An expensive restaurant in an affluent area will likely have refined menus and use what kind of advertising?,Elegant advertising.
What were the two stated purposes of the 'Hold My Hand' advertising theme?,To make people feel inspired and to show many 'magical holiday moments'.
How did the 'Hold My Hand' advert achieve its inspiring and energetic feel?,It used an uplifting sound track and showed lots of energy and experiences.
Why were different versions of the 'Hold My Hand' advert created?,To show the experiences of different audiences.
Which audience segment was targeted by the 'Hold My Hand' advert version showing a young boy with a parent?,The family holiday audience.
Which audience segment was targeted by the 'Hold My Hand' advert version showing a young man and woman?,The 'younger couples' audience.
Which audience segment was targeted by the 'Hold My Hand' advert version showing an older man and woman?,The 'couples' audience.
A key part of audience research is understanding the importance of both primary and _____ research.,secondary
Online surveys that you create and distribute yourself are an example of what type of research?,Primary research.
