What is an 'asset' in the context of media production planning?,"An external resource, such as stock photography or footage, that is used within a media product."
Name a key piece of information related to legal issues that should be recorded on an asset log.,"Whether a licence needs to be purchased, permission obtained, or a model release form has been signed."
List three components that should be recorded for each item in an asset log.,"Any three from: ID number, filename, description, source, properties (e.g., resolution), legal issues, where it is used."
Which job role is responsible for ensuring licences are obtained for all assets in a media project?,The production manager.
Why would a graphic designer need to access an asset log?,To track and manage the image assets they are using in their work.
What is the main function of a flow chart in the planning process?,To break down problems into separate processes and show the decisions that need to be made.
"In a TV studio, what type of organisational process could a flow chart be used for?",To outline the procedure for what to do in an emergency.
Which two job roles would use a flow chart for creating algorithms on a website?,A web designer and a web developer.
"In game development, flow charts are used by programmers and animators to map out algorithms for what?",The processes and logic for characters in a computer game.
"In a flow chart, what does the 'terminator' symbol, an oval or rounded rectangle, represent?",The start and end points of the process.
"Which flow chart symbol, shaped like a diamond, is used to represent a point where a choice must be made?",The decision symbol.
What does a rectangular symbol represent in a standard flow chart?,A process or an action to be carried out.
The parallelogram symbol in a flow chart is used to show what type of operation?,An input or output of data.
One way to improve a flow chart's clarity is to label the arrows coming from a decision box with _____ and _____.,Yes and No.
Name one type of specialist software used for creating flow charts.,"Microsoft Visio, Lucid charts, or Smart Draw."
"In a standard script layout, what information is typically written in capital letters?","Locations, shot types, and character names."
"What are the three main sections of a script's content, often distinguished by colour or formatting in examples?","Locations/shot types/descriptions, character's name, and dialogue/voice over."
"Besides dialogue, what other sound information is included in a script?","Details about background music, actions, or specific sound events."
What four key pieces of information are found on the cover of a script?,"The title, the scriptwriter/author, the date, and the draft number."
"In a script, the abbreviation 'INT' is used to indicate what type of location?","An interior shot, meaning it takes place indoors."
The abbreviation 'EXT' in a script heading signifies that the scene takes place where?,"In an exterior location, meaning it is set outdoors."
"According to standard script formatting, where are locations and shot types typically placed on the page?",They are written at the left of the script in capital letters.
"What does the script abbreviation 'LS' stand for, and what is its common use?","It stands for Long Shot, which is often used as an establishing shot."
The script abbreviation 'CU' is used to denote which type of camera shot?,A close-up shot.
What camera shot is represented by the abbreviation 'MS' in a script?,A mid shot.
What is the meaning of the shot type abbreviation 'ECU'?,Extreme close up.
A shot type abbreviated as 'ELS' in a script refers to what?,An extreme long shot.
Name two types of camera movements that might be specified in a script.,"Any two from: track and dolly, pan/tilt, or push in/pull back."
A common formatting improvement for scripts is to _____ the dialogue to separate it from other text.,indent
What information does the 'source' column of an asset log contain?,"It details where the asset was obtained from (e.g., stock photo website, photographer)."
What type of properties might be recorded in an asset log for an image?,The image size or resolution.
Which professional role would use an asset log to check if model release forms have been signed?,A photographer.
"In a flow chart, what is the function of the 'Direction of flow' symbol?",It is an arrow that indicates the sequence and direction of the process.
What detail should a script include within dialogue directions to guide an actor's performance?,"Information on intonation, volume, and emotions."
"What is meant by 'direction' in a script, separate from camera directions?",It describes what is happening in the scene and how characters are interacting.
Term: V.O. (in a script),"Stands for 'Voice Over', indicating dialogue spoken by a character who is not on screen."
An important formatting convention for scripts is that character names above dialogue should be in _____.,capitals
"Character stage directions, describing their actions or expressions, are typically included on the _____ margin of a script.",left
What is the purpose of including a draft number on the cover of a script?,To track different versions and revisions of the script during its development.
